id;nombre;nif;direccion;telefono
1;EXE index clicks-and-mortar;Monte parse;circuit override;Pelota world-class
2;Hormigon Métricas back-end;bifurcada payment Borders;SSL multi-byte Sabroso;auxiliary Ronda Valenciana
3;circuit Coordinador Ethiopian;producto Avon Verde;Datos navigate deposit;driver Madera
4;Dinar Account virtual;Cambridgeshire Marroquinería;Artesanal Account;Loan
5;niches Especialista;copy Blanco Dinánmico;Algodón Perseverando convergence;Armenia Paradigma
6;León e-tailers grow;Guapo digital;Avon Guantes;TCP Martinica
7;panel Uruguay;Inverso SSL synergistic;Senior cutting-edge Negro;Práctico
8;Taiwan Web;Informática input Ladrillo;Central;haptic arquitectura aprovechar
9;Lek Plaza;Descentralizado;synthesize Albania Argentina;Electrónica Sopa Arroyo
10;explícita haptic;invoice navigating;Expandido alarm;Senda
