id;codigo;nombre;cantidad;precio_base;precio_total;tipo_producto
1;actitud;Dinánmico;81998;32882;20622;VEGETALES
2;circuit bypassing;Borders GB Rústico;86414;7751;46039;VEGETALES
3;Gris sensor;a Gorro Canada;88711;94847;78123;HIGIENE
4;Pequeño;back-end Gorro Camerún;44003;35658;76382;HIGIENE
5;microchip compress ROI;Costa SSL;57643;28242;73188;HIGIENE
6;synthesizing Extrarradio;innovative Seguro;44740;92525;63316;VEGETALES
7;Navarra;Implementación connect;30693;18297;78204;VEGETALES
8;neural;state Sabroso Buckinghamshire;43364;1151;79849;VEGETALES
9;copying;Gorro optimize Rupee;59236;86081;96268;VEGETALES
10;program e-markets deposit;leverage Algodón previsión;59323;87841;17387;HIGIENE
